         2283393 function calls (2174341 primitive calls) in 1050.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20086    0.005    0.000    0.005    0.000 {chr}
     2769    0.004    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:388(EncodeSignedVarint)
     2364    0.004    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:310(graph)
     2082    0.004    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/importer.py:89(_ParseTensorName)
     5699    0.004    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:467(ndims)
     9242    0.005    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:192(__init__)
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/subprocess.py:1187(_execute_child)
     1007    0.003    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:99(items)
     2533    0.005    0.000    0.005    0.000 {zip}
     5391    0.004    0.000    0.004    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:467(_ConvertToUnicode)
     2014    0.002    0.000    0.004    0.000 /home/khoa/tensorflow/lib/python2.7/encodings/utf_8.py:15(decode)
      536    0.003    0.000    0.004    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:134(PackedFieldSize)
     5372    0.004    0.000    0.004    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:1422(outputs)
      136    0.001    0.000    0.004    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:202(DecodePackedField)
     1041    0.002    0.000    0.004    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/dtypes.py:218(is_compatible_with)
     1312    0.004    0.000    0.004    0.000 {_pywrap_tensorflow.TF_GetCode}
     1007    0.002    0.000    0.004    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/registry.py:70(lookup)
     3156    0.003    0.000    0.004    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:268(FieldSize)
     2153    0.002    0.000    0.004    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:79(is_compatible_with)
     4168    0.003    0.000    0.004    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/dtypes.py:500(as_dtype)
    13894    0.004    0.000    0.004    0.000 {iter}
      750    0.002    0.000    0.004    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:595(assert_same_rank)
